,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
471,23.0,34000.0,,12.967828418230564
472,31.0,57000.0,55000.0,0.0
473,32.0,99999999999.0,,12.967828418230564
474,34.0,54000.0,,0.0
475,34.0,60000.0,55000.0,12.967828418230564
476,29.0,65000.0,65000.0,32.0
477,38.0,80000.0,78000.0,12.967828418230564
478,25.0,60000.0,,12.967828418230564
479,28.0,66000.0,,12.967828418230564
480,23.0,60000.0,52000.0,12.967828418230564
481,30.0,75000.0,75000.0,12.967828418230564
482,32.0,85000.0,78000.0,12.967828418230564
483,28.0,47000.0,46000.0,12.967828418230564
484,31.0,62000.0,50000.0,0.0
485,29.0,56000.0,54000.0,15.0
486,40.0,50000.0,40000.0,12.967828418230564
487,42.0,75000.0,73000.0,12.967828418230564
488,40.0,90000.0,75000.0,12.967828418230564
489,27.0,82000.0,94000.0,12.967828418230564
490,29.0,75000.0,66000.0,0.0
491,37.0,156000.0,156000.0,12.967828418230564
492,23.0,53000.0,,12.967828418230564
493,35.0,77000.0,69300.0,12.967828418230564
494,39.0,180000.0,130000.0,0.0
495,33.0,55000.0,,12.967828418230564
496,31.0,82000.0,,12.967828418230564
497,38.0,100000.0,80000.0,25.0
498,31.0,70000.0,65000.0,12.967828418230564
499,24.0,57600.0,48000.0,0.0
500,26.0,47000.0,,40.0
501,30.0,70000.0,70000.0,12.967828418230564
502,33.0,100000.0,100000.0,0.0
503,33.0,65000.0,,32.0
504,31.0,80000.0,64000.0,0.0
505,33.0,54000.0,54000.0,12.967828418230564
506,43.0,72000.0,63000.0,0.0
507,36.0,78000.0,70000.0,12.967828418230564
508,33.0,60000.0,60000.0,12.967828418230564
509,36.0,60000.0,58000.0,12.967828418230564
510,27.0,50000.0,50000.0,32.0
511,33.0,120000.0,104000.0,0.0
512,33.0,62000.0,50000.0,12.967828418230564
513,40.0,60000.0,60000.0,12.967828418230564
514,24.0,58000.0,,12.967828418230564
515,40.0,81000.0,81000.0,0.0
516,37.0,70000.0,60000.0,12.967828418230564
517,35.0,80000.0,,0.0
518,39.0,70000.0,65000.0,32.0
519,25.0,63700.0,60000.0,12.967828418230564
520,27.0,65000.0,,12.967828418230564
521,30.0,30000.0,,12.967828418230564
522,28.0,70000.0,70000.0,12.967828418230564
523,36.0,48000.0,40000.0,12.967828418230564
524,29.0,66000.0,60000.0,12.967828418230564
525,37.0,67000.0,,12.967828418230564
526,34.0,70000.0,,12.967828418230564
527,28.0,65000.0,56000.0,12.967828418230564
528,39.0,122000.0,118000.0,12.967828418230564
529,32.0,150000.0,,12.967828418230564
530,32.0,40800.0,,30.0
531,32.0,58000.0,,12.967828418230564
532,37.0,69200.0,67100.0,12.967828418230564
533,32.0,72000.0,65000.0,0.0
534,28.0,57000.0,45000.0,12.967828418230564
535,35.0,84000.0,79000.0,36.0
536,26.0,59000.0,55000.0,12.967828418230564
537,32.0,68000.0,,12.967828418230564
538,29.0,68000.0,55000.0,28.0
539,36.0,88000.0,80000.0,12.967828418230564
540,26.0,71000.0,65000.0,24.0
541,28.0,65000.0,60000.0,12.967828418230564
542,36.0,50000.0,,12.967828418230564
543,40.0,160000.0,160000.0,12.967828418230564
544,29.0,37500.0,35000.0,12.967828418230564
545,32.0,65000.0,65000.0,25.0
546,28.0,56000.0,52000.0,12.967828418230564
547,27.0,80000.0,75000.0,20.0
548,33.0,83000.0,80000.0,12.967828418230564
549,34.0,76500.0,72000.0,0.0
550,31.0,60000.0,55000.0,0.0
551,31.0,79000.0,67000.0,12.967828418230564
552,31.0,90000.0,90000.0,12.967828418230564
